Professor,Artigo
TIAGO PEREIRA DO NASCIMENTO,Imbalance fault detection in BLDC motors through audio signals using the density of maxima and CNN
TIAGO PEREIRA DO NASCIMENTO,Nurses’ experiences of care in Portuguese nursing homes during the COVID-19 pandemic: A focus group study
TIAGO PEREIRA DO NASCIMENTO,Transitional care model
TIAGO PEREIRA DO NASCIMENTO,An Environment for Indoor Testing and Diagnosis of Drones using Co-simulation
TIAGO PEREIRA DO NASCIMENTO,Approach to Indoor Location of Mobile Robot Using Wi-Fi Fingerprint and a Variant of the K-NN Method
TIAGO PEREIRA DO NASCIMENTO,Acceleration of Cellular Automata through Parallel Computing with OpenCL
TIAGO PEREIRA DO NASCIMENTO,Integration of robot operating system and ptolemy for design of real-time multi-robots environments
TIAGO PEREIRA DO NASCIMENTO,The Integration of GPU-based and Heterogeneous Devices using HLA
TIAGO PEREIRA DO NASCIMENTO,HEALTHY PLACES: THE RELATIONSHIP BETWEEN ARCHITECTURE AND NURSING
TIAGO PEREIRA DO NASCIMENTO,OMNIDIRECTIONAL MOBILE ROBOT’S TRAJECTORY TRACKING CONTROL SYSTEM: A MULTIVARIABLE APPROACH
TIAGO PEREIRA DO NASCIMENTO,"Microalgas como matéria-prima para biocombustíveis: importância no cenário atual, principais entraves e resultados promissores na Bahia"
TIAGO PEREIRA DO NASCIMENTO,Uma abordagem multivariável para modelagem de robôs móveis omnidirecionais
TIAGO PEREIRA DO NASCIMENTO,Supervisory Control System for Cooperative Agents
TIAGO PEREIRA DO NASCIMENTO,CurviTrack: Curvilinear Trajectory Tracking for High-Speed Chase of a USV
TIAGO PEREIRA DO NASCIMENTO,Psychiatric Home Hospitalization: The Role of Mental Health Nurses—A Scoping Review
TIAGO PEREIRA DO NASCIMENTO,Proximal Control of UAVs with Federated Learning for Human-Robot Collaborative Domains
TIAGO PEREIRA DO NASCIMENTO,Proximal Control of UAVs With Federated Learning for Human-Robot Collaborative Domains
TIAGO PEREIRA DO NASCIMENTO,Intuitive Human-Robot Interface: A 3-Dimensional Action Recognition and UAV Collaboration Framework
TIAGO PEREIRA DO NASCIMENTO,A Generalized Thrust Estimation and Control Approach for Multirotors Micro Aerial Vehicles
TIAGO PEREIRA DO NASCIMENTO,Robotics Meets AI and Vision in South America (Topical Collection)
TIAGO PEREIRA DO NASCIMENTO,O CUIDADO TRANSICIONAL E AS OPORTUNIDADES PARA O ENVELHECIMENTO ATIVO
TIAGO PEREIRA DO NASCIMENTO,and Technology in Nursing
TIAGO PEREIRA DO NASCIMENTO,Innovation in nursing education–the perceptions of the undergraduate students
TIAGO PEREIRA DO NASCIMENTO,Vision-based K-Nearest Neighbor Approach for Multiple Search and Landing with Energy Constraints
TIAGO PEREIRA DO NASCIMENTO,Contributos da formação pós-graduada na prevenção das lesões músculo-esqueléticas ligadas ao trabalho: Um focus group
TIAGO PEREIRA DO NASCIMENTO,Gerir o risco de queda
TIAGO PEREIRA DO NASCIMENTO,Comparison Between Two Recurrent Multitasking Networks for Robot Relocation
TIAGO PEREIRA DO NASCIMENTO,Natalnet Associate Labs
TIAGO PEREIRA DO NASCIMENTO,Bem-estar em pessoas idosas institucionalizadas durante a pandemia: Uma revisão integrativa
TIAGO PEREIRA DO NASCIMENTO,Pure Perception Motion Control based on Stochastic Nonlinear Model Predictive Control
TIAGO PEREIRA DO NASCIMENTO,Introduction to the Robotica 2018 Special Issue
TIAGO PEREIRA DO NASCIMENTO,Dynamic Leader Allocation in Multi-Robot Systems Based on Nonlinear Model Predictive Control
TIAGO PEREIRA DO NASCIMENTO,Nursing information systems and quality indicators: contributions and challenges
TIAGO PEREIRA DO NASCIMENTO,Monitoring Stress and Promoting Awareness at the Workplace
TIAGO PEREIRA DO NASCIMENTO,An Analysis of the Numeric Solver Choice for an NMPC Controlled Non-holonomic Robot Formation
TIAGO PEREIRA DO NASCIMENTO,Non-linear model predictive formation control applied to non-holonomic autonomous mobile robots
TIAGO PEREIRA DO NASCIMENTO,An Embedded Nonlinear Model Predictive Formation Controller for Low-Cost Architectures
TIAGO PEREIRA DO NASCIMENTO,The man in middle age: what to expect?
TIAGO PEREIRA DO NASCIMENTO,157 SEXUAL SATISFACTION IN MIDDLE AGE
TIAGO PEREIRA DO NASCIMENTO,Program matching through code analysis and artificial neural networks
TIAGO PEREIRA DO NASCIMENTO,LEADER FOLLOWING FORMATION CONTROL FOR OMNIDIRECTIONAL MOBILE ROBOTS
TIAGO PEREIRA DO NASCIMENTO,Rastreabilidade de códigos executáveis usando redes neurais
TIAGO PEREIRA DO NASCIMENTO,Validação de software em Metrologia Legal
TIAGO PEREIRA DO NASCIMENTO,"Proteção, rastreabilidade de verificação de integridade de dispositivos com software embarcado"
TIAGO PEREIRA DO NASCIMENTO,A Review on Vision-Based Control for Multi-Rotor Aerial Vehicles
TIAGO PEREIRA DO NASCIMENTO,Self-Organized UAV Flocking Based Only on Relative Range and Bearing
TIAGO PEREIRA DO NASCIMENTO,LaSER Team Description Paper for the RoboCup Brazil Open Flying Robot League 2019
TIAGO PEREIRA DO NASCIMENTO,Robótica educacional: de uma experiência curricular à gestão da universalização em uma rede municipal de ensino
TIAGO PEREIRA DO NASCIMENTO,LARS/SBR/WRE 2018
TIAGO PEREIRA DO NASCIMENTO,MODELAGEM DE ESTRATÉGIA PARA CONTROLE DE AGENTES COOPERATIVOS
TIAGO PEREIRA DO NASCIMENTO,CONTROLE MULTIVARIÁVEL DE TRAJETÓRIA PARA ROBÔS MÓVEIS OMNI-DIRECIONAIS
TIAGO PEREIRA DO NASCIMENTO,Controlador Lógico Fuzzy de Agentes Cooperativos (ENECA06-2101)
TIAGO PEREIRA DO NASCIMENTO,Um Controlador Fuzzy para o Robô Móvel Omni-direcional AxeBot
TIAGO PEREIRA DO NASCIMENTO,MECATEAM F-180: A MULTI-ROBOT SYSTEM FOR ROBOCUP F-180 SMALL SIZE LEAGUE
