Artigo,Coautor
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,João Pedro Vasconcelos Teixeira
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,João Wallace Lucena Lins
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Felipe Honorato de Sousa
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Ana Clara Chaves Sousa
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Manuel Ferreira Junior
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Thaís Ramos
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Cecília Silva
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Thaís Gaudencio do Rêgo
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Yuri de Almeida Malheiros
Iris-CV: Classifying Iris Flowers Is Not as Easy as You Thought,Telmo Silva Filho
Portal para exposição de infográficos interativos dos dados das proposições da Câmara dos Deputados,Vinícius Januário Barros
Detecção de ilhas genômicas em procariotos utilizando o método Expectation-Maximization,Tayrone de Sousa Monteiro
Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG,Lucas Marques da Cunha
Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG,Arnaldo Gualberto de Andrade
Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG,Thaís Gaudêncio do Rêgo
Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG,Leonardo Vidal Batista
Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis,Lucas Marques da Cunha
Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis,Arnaldo Gualberto de Andrade e Silva
Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis,Thais Gaudencio do Rego
Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis,Leonardo Vidal Batista
Assessment of volumetric dense tissue segmentation in tomosynthesis using deep virtual clinical trials,Nenhum coautor encontrado
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Fellipe Henrique Mahon
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Anderson Rufino dos Santos Silva
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Daniel Miranda de Brito
Predição de sucesso de estudantes cotistas utilizando algoritmos de classificação,Thaís Gaudencio do Rêgo
Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models,Thais G do Rego
Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models,Helge G Roider
Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models,Francisco AT de Carvalho
Supplement: Inferring Epigenetic and Transcriptional Regulation during Blood Cell Development with a Mixture of Sparse Linear Models,Ivan G Costa
Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid,Lucas Marques da Cunha
Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid,Thaís Gaudêncio do Rêgo
Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid,Leonardo Vidal Batista
Bioinformatics for the identification of antimicrobial targets in oral bacteria,Andréa Cristina Barbosa da Silva
Bioinformatics for the identification of antimicrobial targets in oral bacteria,Thaís Gaudêncio do Rêgo
An efficient heuristic for the ring star problem,Thayse Christine S Dias
An efficient heuristic for the ring star problem,Gilberto F de Sousa Filho
An efficient heuristic for the ring star problem,Elder M Macambira
An efficient heuristic for the ring star problem,Lucidio dos Anjos F. Cabral
An efficient heuristic for the ring star problem,Marcia Helena C Fampa
Hybrid metaheuristic for bicluster editing problem,Gilberto F de Sousa Filho
Hybrid metaheuristic for bicluster editing problem,F Cabral Lucidio dos Anjos
Hybrid metaheuristic for bicluster editing problem,Luiz Satoru Ochi
Hybrid metaheuristic for bicluster editing problem,Fábio Protti
Introdução à computação,Eduardo Santana Medeiros
New algorithms for the minimum coloring cut problem,Augusto Bordini
New algorithms for the minimum coloring cut problem,Fábio Protti
New algorithms for the minimum coloring cut problem,Thiago Gouveia da Silva
New algorithms for the minimum coloring cut problem,Gilberto Farias de Sousa Filho
New heuristics for the bicluster editing problem,Gilberto F de Sousa Filho
New heuristics for the bicluster editing problem,Teobaldo L Bulhões Júnior
New heuristics for the bicluster editing problem,Lucidio AF Cabral
New heuristics for the bicluster editing problem,Luiz Satoru Ochi
New heuristics for the bicluster editing problem,Fábio Protti
Branch-and-cut approaches for p-cluster editing,Teobaldo Bulhoes
Branch-and-cut approaches for p-cluster editing,Gilberto F de Sousa Filho
Branch-and-cut approaches for p-cluster editing,Anand Subramanian
Branch-and-cut approaches for p-cluster editing,Lucidio dos Anjos F Cabral
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Thiago Gouveia da Silva
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Gilberto F de Sousa Filho
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Luiz Satoru Ochi
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Philippe Michelon
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Serigne Gueye
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Lucidio AF Cabral
Métodos exatos aplicados ao problema do corte global rotulado mınimo,Joao Pessoa–PB–Brasil
A parallel hybrid metaheuristic for bicluster editing,Gilberto F de Sousa Filho
A parallel hybrid metaheuristic for bicluster editing,Teobaldo L Bulhões Júnior
A parallel hybrid metaheuristic for bicluster editing,Lucidio dos Anjos F Cabral
A parallel hybrid metaheuristic for bicluster editing,Luiz Satoru Ochi
A parallel hybrid metaheuristic for bicluster editing,Fábio Protti
Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,Juliana Holanda Correia
Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,GF SOUSA FILHO
Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,IQ Nascimento
Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,LAC Formiga
Otimização e implementação de um sistema de alocação ótima de serviços públicos utilizando a metaheurística Grasp,RQ Nascimento
The biclique partitioning polytope,Gilberto F de Sousa Filho
The biclique partitioning polytope,Teobaldo Bulhões
The biclique partitioning polytope,F Cabral Lucídio dos Anjos
The biclique partitioning polytope,Luiz Satoru Ochi
The biclique partitioning polytope,Fábio Protti
The biclique partitioning polytope,Rian GS Pinheiro
Efficient heuristics for the minimum labeling global cut problem,Thiago Gouveia Da Silva
Efficient heuristics for the minimum labeling global cut problem,Gilberto F de Sousa Filho
Efficient heuristics for the minimum labeling global cut problem,Igor AM Barbosa
Efficient heuristics for the minimum labeling global cut problem,Nenad Mladenovic
Efficient heuristics for the minimum labeling global cut problem,Lucidio AF Cabral
Efficient heuristics for the minimum labeling global cut problem,Luiz Satoru Ochi
Efficient heuristics for the minimum labeling global cut problem,Daniel Aloise
Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software,L Leite
Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software,G Farias
Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software,G Souza
Uma Metaheurística GRASP para Otimização de Sistemas Orientados a Componentes de Software,S Meira
"SILVA, Linconl David Nery e; SOUSA FILHO, Gilberto Farias de",GL SOUZA FILHO
Classificação de fraudes em licitações públicas através do agrupamento de empresas em conluios,David P Galvao Júnior
Classificação de fraudes em licitações públicas através do agrupamento de empresas em conluios,Gilberto F de Sousa Filho
Classificação de fraudes em licitações públicas através do agrupamento de empresas em conluios,F Cabral Lucídio dos Anjos
Introdução à Computação. 2014,Eduardo S MEDEIROS
Declawing a graph: polyhedra and Branch-and-Cut algorithms,Felipe C Fragoso
Declawing a graph: polyhedra and Branch-and-Cut algorithms,Gilberto F de Sousa Filho
Declawing a graph: polyhedra and Branch-and-Cut algorithms,Fábio Protti
Algoritmos de Planos de Corte para o Problema Livre de Garra,Felipe Crispim Fragoso
Algoritmos de Planos de Corte para o Problema Livre de Garra,Gilberto Farias de Sousa Filho
Algoritmos de Planos de Corte para o Problema Livre de Garra,Fabio Protti
Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,Erick Jonh F Costa
Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,Jorge Gabriel G de S Ramos
Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,Yuri de A Malheiros Barbosa
Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,Gilberto Farias de S Filho
Um Avaliador Automático de Eﬁciência de Algoritmos para Ambientes Educacionais de Ensino de Programação,Alisson V Brito
Modelagem de Funcionalidades de Sistema Hipermídia Adaptativa para o Interpretador Gráfico de Estrutura de Dados,Adelito Borba Farias
Modelagem de Funcionalidades de Sistema Hipermídia Adaptativa para o Interpretador Gráfico de Estrutura de Dados,Smith Soares Ascari
Modelagem de Funcionalidades de Sistema Hipermídia Adaptativa para o Interpretador Gráfico de Estrutura de Dados,Gilberto Farias de S Filho
Metaheuristic GRASP for the Bicluster Editing Problem,Gilberto F de Sousa Filho
Metaheuristic GRASP for the Bicluster Editing Problem,F Lucidio dos Anjos
Metaheuristic GRASP for the Bicluster Editing Problem,Luiz Satoru Ochi
Metaheuristic GRASP for the Bicluster Editing Problem,Fábio Protti
Metaheuristic GRASP for the Bicluster Editing Problem,Rio Tinto–PB–Brazil
Metaheuristic GRASP for the Bicluster Editing Problem,Joao Pessoa–PB–Brazil
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Dorgival P da Silva Netto
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Thiago José S Oliveira
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Tiago Davi N de Sousa
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Gilberto F de S Filho
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Andrei Formiga
Desenvolvimento de um Interpretador de Comandos e Avaliador Gráfico para o Ensino de Estrutura de Dados (IGED),Alisson V Brito
Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel,Gilberto Farias de Sousa Filho
Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel,Lucídio dos Anjos Formiga Cabral
Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel,Elder Magalhães Macambira
Uma metaheurística GRASP para configuração de um serviço de distribuição de vídeo baseado em replicação móvel,Guido Lemos de Souza Filho
Solving the minimum labeling global cut problem by mathematical programming,Victor J de Sousa Koehler
Solving the minimum labeling global cut problem by mathematical programming,Thiago Gouveia
Solving the minimum labeling global cut problem by mathematical programming,Gilberto Farias de Sousa Filho
Solving the minimum labeling global cut problem by mathematical programming,Luiz Satoru Ochi
Solving the minimum labeling global cut problem by mathematical programming,Philippe Michelon
Solving the minimum labeling global cut problem by mathematical programming,Serigne Gueye
Solving the minimum labeling global cut problem by mathematical programming,Lucidio AF Cabral
Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA,Filipe de M Santos
Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA,Lucas M Aguiar
Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA,Gilberto F de Sousa Filho
Classificador de notificações de acidentes ambientais no Sistema Nacional de Emergências Ambientais do IBAMA,Bruno J Sousa Pessoa
Identificação de fraudes em licitações: uma abordagem utilizando agrupamento por interseção,David Pereira Galvão Júnior
Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,Fernanda Lima de Vasconcellos Farias
Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,Kátia Suely Queiroz Silva Ribeiro
Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,José Carlos de Lacerda Leite
Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,Gilberto Farias de Sousa Filho
Sistema de apoio à decisão clínica para manejo e encaminhamento de nódulos tireoidianos,Artur Luis Brito Gurjão
Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima,David Pereira Galvão Júnior
Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima,Victor José de Sousa Koehler
Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima,Thiago Gouveia
Algoritmo Genético para o Problema da Árvore de Cobertura com Representação Mínima,Gilberto Farias de Sousa Filho
Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima,Victor José de Sousa Koehler
Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima,David Pereira Galvão Júnior
Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima,Thiago Gouveia
Métodos Exatos para o Problema da Árvore de Cobertura com Representação Mínima,Gilberto Farias de Sousa Filho
PROPOSTA DE SOLUÇÃO PARA UTILIZAÇÃO DE REGISTRO DE OCORRÊNCIAS POLICIAIS PARA AUXILIAR NO PROCESSO DECISÓRIO GERENCIAL NO ÂMBITO DA SEGURANÇA PÚBLICA,Gláucio Bezerra Rocha
PROPOSTA DE SOLUÇÃO PARA UTILIZAÇÃO DE REGISTRO DE OCORRÊNCIAS POLICIAIS PARA AUXILIAR NO PROCESSO DECISÓRIO GERENCIAL NO ÂMBITO DA SEGURANÇA PÚBLICA,Gilberto Farias de Sousa Filho
Métodos Exatos para o Problema do Diâmetro Colorido,Calebe Oliveira de Figueirêdo
Métodos Exatos para o Problema do Diâmetro Colorido,Gilberto Farias de Sousa Filho
Métodos Exatos para o Problema do Diâmetro Colorido,Felipe Crispim Fragoso
Solving the minimum labeling global cut problem by mathematical programming,Thiago Gouveia da Silva
Solving the minimum labeling global cut problem by mathematical programming,Gilberto F de Sousa Filho
Solving the minimum labeling global cut problem by mathematical programming,Luiz Satoru Ochi
Solving the minimum labeling global cut problem by mathematical programming,Philippe Michelon
Solving the minimum labeling global cut problem by mathematical programming,Serigne Gueye
Solving the minimum labeling global cut problem by mathematical programming,Lucidio AF Cabral
Formulação baseada em fechos cromáticos para o problema do corte global rotulado mínimo,José Fagner
Formulação baseada em fechos cromáticos para o problema do corte global rotulado mínimo,Gilberto Farias de Sousa Filho
Formulação baseada em fechos cromáticos para o problema do corte global rotulado mínimo,Thiago Gouveia Da Silva
Nova formulação para o Problema de Cobertura por Ciclos Rainbow,Gilberto Farias de Sousa Filho
Nova formulação para o Problema de Cobertura por Ciclos Rainbow,Teobaldo Bulhoes
Nova formulação para o Problema de Cobertura por Ciclos Rainbow,Gabriel Soares
Um estudo de caso sobre a avaliação energética de software como uma contribuição à Computação Verde,Jarbele C da Silva
Um estudo de caso sobre a avaliação energética de software como uma contribuição à Computação Verde,Alisson V Brito
Um estudo de caso sobre a avaliação energética de software como uma contribuição à Computação Verde,Gilberto F de S Filho
Optimization and implementation of a system for allocating services integrated with the Google Maps service,Gilberto Farias de Sousa Filho
Optimization and implementation of a system for allocating services integrated with the Google Maps service,Ivan Quirino do Nascimento
Optimization and implementation of a system for allocating services integrated with the Google Maps service,Juliana Holanda Correia
Optimization and implementation of a system for allocating services integrated with the Google Maps service,Lucídio Cabral dos Anjos Formiga
Optimization and implementation of a system for allocating services integrated with the Google Maps service,Roberto Quirino do Nascimento
METAHEURÍSTICAS SEQUENCIAS E PARALELAS PARA A CONFIGURAC AO DE UM SERVICO DE DISTRIBUIC AO DE VÍDEO DIGITAL AO VIVO.,GILBERTO FARIAS DE SOUSA FILHO
Modelos e Heurísticas para o Problema de Alocação Dinâmica de Espaços,LETTIERY D’LAMARE PORTELA PROCÓPIO
DIGITAL DATA NETWORKS DESIGN USING HYBRID METAHEURISTIC,Gilberto F de Sousa Filho
DIGITAL DATA NETWORKS DESIGN USING HYBRID METAHEURISTIC,F Cabral Lucidio dos Anjos
Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Wagner Silva Costa
Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Lettiery DLamare Portela Procópio
Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Gilberto Farias de Sousa Filho
Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Lucídio dos Anjos Formiga Cabral
Uma Abordagem Híbrida Aplicada ao Problema da Alocação Dinâmica de Espaços,Geiza Cristina da Silva
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Gilberto F de Sousa Filho
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,F Lucidio dos Anjos
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Luiz Satoru Ochi
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Fábio Protti
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Rio Tinto–PB–Brazil
GRASP com memoria adaptativa aplicada ao problema de particionamento de grafos bipartidos por ediç ao de arestas,Joao Pessoa–PB–Brazil
ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL,Gilberto Farias de Sousa Filho
ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL,Lucídio dos Anjos Formiga Cabral
ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL,Elder Magalhães Macambira
ESTRATÉGIAS PARALELAS E EFICIENTES PARA A CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO BASEADO EM REPLICAÇÃO MÓVEL,Guido Lemos de Souza Filho
ABORDAGENS HEURÍSTICAS APLICADAS AO PROBLEMA GERAL DE DIMENSIONAMENTO E PROGRAMAÇÃO DE LOTES,Nilton Hideki Takagi
ABORDAGENS HEURÍSTICAS APLICADAS AO PROBLEMA GERAL DE DIMENSIONAMENTO E PROGRAMAÇÃO DE LOTES,Lucídio dos Anjos Formiga Cabral
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Teobaldo L Bulhoes Júnior
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Gilberto F de Sousa Filho
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,F Lucıdio dos Anjos
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Fábio Protti
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Luiz Satoru Ochi
Integer Programming Formulation and GRASP for the Non-Automatic Bicluster Editing Problem,Joao Pessoa–PB–Brazil
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Gilberto F de Sousa Filho
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Teobaldo L Bulhoes Junior
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,F Cabral Lucidio dos Anjos
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Joao Pessoa–PB–Brazil
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Luiz Satoru Ochi
Meta-heurıstica GRASP para o problema de particionamento de grafos por ediçao de arestas,Fábio Protti
METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Jefferson Ferreira de Araújo Lima
METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Gilberto Farias de Sousa Filho
METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Luiz Eduardo C Leite
METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Lucídio AF Cabral
METAHEURÍSTICAS ILS E ACS PARA GERAÇÃO DE CONFIGURAÇÕES OTIMIZADAS PARA SISTEMAS ORIENTADOS A COMPONENTES,Guido Lemos de Sousa Filho
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Thiago Gouveia da Silva
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Eduardo Vieira Queiroga
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Gilberto F de Sousa Filho
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,F Lucidio dos Anjos
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Luiz Satoru Ochi
Abordagem Hıbrida para o Poblema daArvore Geradora com Rotulaçao Mınima,Joao Pessoa–PB–Brasil
Hybrid metaheuristics,Gilberto F de Sousa Filho
Hybrid metaheuristics,Fábio Protti
ESTRATÉGIA PARALELA PARA UMA METAHEURÍSTICA HÍBRIDA USADA NA CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO,Gilberto Farias de Sousa Filho
ESTRATÉGIA PARALELA PARA UMA METAHEURÍSTICA HÍBRIDA USADA NA CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO,Alexander Almeida Pinto
ESTRATÉGIA PARALELA PARA UMA METAHEURÍSTICA HÍBRIDA USADA NA CONFIGURAÇÃO DE UM SERVIÇO DE DISTRIBUIÇÃO DE VÍDEO,Lucídio dos Anjos Formiga Cabral
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Lincoln David Nery
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Glêdson Elias
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Guido Lemos
Uma Arquitetura Hierárquica e Distribuída para um Serviço de Distribuição de Vídeo ao Vivo,Luiz Eduardo Leite
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Gilberto Farias de Sousa Filho
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Hugo Harry Kramer
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Thiago Gouveia da Silva
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Teobaldo L Bulhoes Júnior
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Fábio Protti
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,F Cabral Lucıdio dos Anjos
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Luiz Satoru Ochi
BRANCH-AND-PRICE APLICADO AO PROBLEMA DE PARTICIONAMENTO DE BIGRAFOS POR EDIC AO DE ARESTAS,Joao Pessoa–PB–Brasil
A recommendation framework for allocating global software teams in software product line projects,Thaís Alves Burity Pereira
A recommendation framework for allocating global software teams in software product line projects,Vinicius Souza dos Santos
A recommendation framework for allocating global software teams in software product line projects,Bruno Luna Ribeiro
X-arm: an asset representation model for component repository systems,Michael Schuenck
X-arm: an asset representation model for component repository systems,Yuri Negócio
X-arm: an asset representation model for component repository systems,Jorge Dias Jr
X-arm: an asset representation model for component repository systems,Sindolfo Miranda Filho
A systematic review of software product lines applied to mobile middleware,Yuri Morais Bezerra
A systematic review of software product lines applied to mobile middleware,Thaís Alves Burity Pereira
A systematic review of software product lines applied to mobile middleware,Glêdson Elias da Silveira
Performance issues of ad hoc routing protocols in a network scenario used for videophone applications,Glaucia Campos
Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,Carlos Eduardo Coelho Freire Batista
Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,TL Samilto
Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,Luiz Eduardo Cunha Leite
Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,GL de Souza
Big videos on small networks. a hierarchical and distributed architecture for a video on demand distribution service,Glêdson Elias da Silveira
Arquitetura e Protocolos de Rede TCP-IP,Luiz Carlos LOBATO
A layered routing architecture for infrastructure wireless mesh networks,Daniel Charles Ferreira Porto
A layered routing architecture for infrastructure wireless mesh networks,Gustavo Cavalcanti
An XML-based component specification model for an adaptive middleware of interactive digital television systems,Frederico Borelli
An XML-based component specification model for an adaptive middleware of interactive digital television systems,Adilson Lopes
"Spontaneous software: a Web-based, object computing paradigm",Glêdson Elias da Silveira
"Exploring an open, distributed multimedia framework to design and develop an adaptive middleware for interactive digital television systems",Adilson B Lopes
"Exploring an open, distributed multimedia framework to design and develop an adaptive middleware for interactive digital television systems",Frederico Borelli
"Exploring an open, distributed multimedia framework to design and develop an adaptive middleware for interactive digital television systems",Maurício F Magalhães
A risk-driven multi-objective evolutionary approach for selecting software requirements,Aruan Amaral
Um Serviço de Repositório Compartilhado e Distribuído para Suporte ao Desenvolvimento Baseado em Componentes,João Paulo F de Oliveira
Um Serviço de Repositório Compartilhado e Distribuído para Suporte ao Desenvolvimento Baseado em Componentes,Talles Brito
Um Serviço de Repositório Compartilhado e Distribuído para Suporte ao Desenvolvimento Baseado em Componentes,Sebastião Rabelo Jr
A Configuration Distribution System for Heterogeneous Networks.,Gledson Elias Da Silveira
A Configuration Distribution System for Heterogeneous Networks.,Fabio QB Da Silva
A fuzzy-based approach for selecting technically qualified distributed software development teams,Vinicius Souza
"Clustering large-scale, distributed software component repositories",Marcos Paulo Paixão
"Clustering large-scale, distributed software component repositories",Leila Silva
Simulation-based performance evaluation of the SNDP protocol for infrastructure WMNs,Mateus Novaes
Simulation-based performance evaluation of the SNDP protocol for infrastructure WMNs,Gustavo Cavalcanti
Simulation-based performance evaluation of the SNDP protocol for infrastructure WMNs,Daniel Porto
Integrating communication paradigms in a mobile middleware product line,Yuri Morais
Um framework de recomendação para alocação de equipes de desenvolvimento em projetos distribuídos de linhas de produto de software,Vinicius S dos Santos
Um framework de recomendação para alocação de equipes de desenvolvimento em projetos distribuídos de linhas de produto de software,Thaís AB Pereira
Um framework de recomendação para alocação de equipes de desenvolvimento em projetos distribuídos de linhas de produto de software,Bruno Luna Ribeiro
Qos specification and management in a middleware for distributed multimedia systems,Adilson Lopes
Qos specification and management in a middleware for distributed multimedia systems,Frederico Amaro
Qos specification and management in a middleware for distributed multimedia systems,Guido Lemos
Qos specification and management in a middleware for distributed multimedia systems,Mauricio F Magalhaes
"A Component-Based Configuration Framework for Open, Distributed Multimedia Systems",Adilson Lopes
"A Component-Based Configuration Framework for Open, Distributed Multimedia Systems",Frederico Borelli
